Warehouse,Class,Asset/SSE #,Serial#,Manuf,Model,Model#,Cond,Screen Size,Notes/Comments,No SKU,Price
Sage - CMH,Monitors,1180161,CNK8470W13,HP,L2245wg,HSTND-2371-B,C,14,,HP-L2245WG-MON-C,40
Sage - CMH,Monitors,1188662,CN0CC2807161865MAJWT,Dell,1707FPt,1707FPt,C,16,,DELL-1707FPT-MON-C,40
Sage - CMH,Monitors,1177050,MX02Y311476053BFAHSD,Dell,1703FPs,1703FPs,C,17,,DELL-1703FPS-MON-C,40
Sage - CMH,Monitors,1188300,CN0Y42997161859LAHAB,Dell,1704 FPT,1704 FPT,C,17,,DELL-1704FPT-MON-C,40
Sage - CMH,Monitors,1186596,CN0CC3526418062E0VTL,Dell,1707FPc,1707FPc,C,17,Missing Base,DELL-1707FPC-MON-C,40
Sage - CMH,Monitors,1176869,CN0YG6137161868NADFJ,Dell,1707FPt,1707FPt,C,17,,DELL-1707FPT-MON-C,40
Sage - CMH,Monitors,1179993,CN0CC2807161867LBB65,Dell,1707FPt,1707FPt,C,17,,DELL-1707FPT-MON-C,40
Sage - CMH,Monitors,1180008,CN0CC2807161868PAFLQ,Dell,1707FPt,1707FPt,C,17,,DELL-1707FPT-MON-C,40
Sage - CMH,Monitors,1177052,CN0KU78971618781CAS6,Dell,1708FPt,1708FPt,C,17,,DELL-1708FPT-MON-C,40
Sage - CMH,Monitors,1177126,CN0KU78971618784AVJL,Dell,1708FPt,1708FPt,C,17,,DELL-1708FPT-MON-C,40
Sage - CMH,Monitors,1188628,CN0T61167161857MBBJC,Dell,1905FP,1950FP,C,17,,DELL-1905FP-MON-C,40
Sage - CMH,Monitors,1188629,MX0FF491483235AQ0L5A,Dell,1905FP,1950FP,C,17,,DELL-1905FP-MON-C,40
Sage - CMH,Monitors,1188642,MX0FF491483235AC3XKA,Dell,1905FP,1950FP,C,17,,DELL-1905FP-MON-C,40
Sage - CMH,Monitors,1186451,CN0Y42997161859LAGHA,Dell,1905FP,1905FP,C,17,,DELL-1905FP-MON-C,40
Sage - CMH,Monitors,1188214,CN05Y2327161844PA723,Dell,1901FP,1901FP,C,19,,DELL-1901FP-MON-C,60
Sage - CMH,Monitors,1180003,CN05Y23271618483BANR,Dell,1901FP,1901FP,C,19,,DELL-1901FP-MON-C,60
Sage - CMH,Monitors,1188867,CN05Y23271618415B793,Dell,1901FP,1901FP,C,19,Bad VGA Port,DELL-1901FP-MON-C,60
Sage - CMH,Monitors,1176635,CN0T61167161857MB438,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176640,CN0T61167161857MBBQC,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176814,CN0T611671618591AA27,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176818,CN0T611671618593AAZQ,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176821,CN0T611671618513AK2C,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176823,CN0T61167161857MBBNU,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176826,CN0T611671618518AKM5,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176830,CN0T6116716185ALBKPC,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176907,CN0T61167161859HABEH,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176993,CN0T61167161856FAAQB,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1177042,CN0T6116716185ALBMLZ,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
